state_code,state_name,source_file
02,HIMACHAL PRADESH,Rdir_2011_02_HIMACHAL_PRADESH.xls
03,PUNJAB,Rdir_2011_03_PUNJAB.xls
06,HARYANA,Rdir_2011_06_HARYANA.xls
08,RAJASTHAN,Rdir_2011_08_RAJASTHAN.xls
09,UTTAR PRADESH,Rdir_2011_09_UTTAR_PRADESH.ods
10,BIHAR,Rdir_2011_10_BIHAR.xls
11,SIKKIM,Rdir_2011_11_SIKKIM.xls
12,ARUNACHAL PRADESH,Rdir_2011_12_ARUNACHAL_PRADESH.xls
13,NAGALAND,Rdir_2011_13_NAGALAND.xls
15,MIZORAM,Rdir_2011_15_MIZORAM.xls
16,TRIPURA,Rdir_2011_16_TRIPURA.xls
17,MEGHALAYA,Rdir_2011_17_MEGHALAYA.xls
18,ASSAM,Rdir_2011_18_ASSAM.xls
19,WEST BENGAL,Rdir_2011_19_WEST_BENGAL.xls
20,JHARKHAND,Rdir_2011_20_JHARKHAND.xls
21,ODISHA,Rdir_2011_21_ODISHA.xls
22,CHHATTISGARH,Rdir_2011_22_CHHATTISGARH.xls
23,MADHYA PRADESH,Rdir_2011_23_MADHYA_PRADESH.xls
24,GUJARAT,Rdir_2011_24_GUJARAT.xls
25,DAMAN & DIU,Rdir_2011_25_DAMAN_and_DIU.xls
26,DADRA & NAGAR HAVELI,Rdir_2011_26_DADRA_and_NAGAR_HAVELI.xls
27,MAHARASHTRA,Rdir_2011_27_MAHARASHTRA.xls
28,ANDHRA PRADESH,Rdir_2011_28_ANDHRA_PRADESH.xls
29,KARNATAKA,Rdir_2011_29_KARNATAKA.xls
30,GOA,Rdir_2011_30_GOA.xls
31,LAKSHADWEEP,Rdir_2011_31_LAKSHADWEEP.xls
32,KERALA,Rdir_2011_32_KERALA.xls
33,TAMIL NADU,Rdir_2011_33_TAMIL_NADU.xls
34,PUDUCHERRY,Rdir_2011_34_PUDUCHERRY.xls
35,ANDAMAN & NICOBAR ISLANDS,Rdir_2011_35_ANDAMAN_and_NICOBAR_ISLANDS.xls
